labels,results
building ceramics,1
building drawing,32
building furniture,62
building jewellery,3
building map,12
building painting,3
building photograph,1766
building postcard,240
building sculpture,55
building tapestry,3
building textile,6
building toy,14
building woodwork,3
ceramics drawing,1
ceramics furniture,20
ceramics jewellery,5
ceramics painting,7
ceramics photograph,18
ceramics sculpture,846
ceramics textile,66
ceramics toy,71
drawing furniture,5
drawing map,123
drawing painting,11
drawing photograph,421
drawing postcard,9
drawing sculpture,25
drawing tapestry,5
drawing textile,5
drawing toy,6
drawing woodwork,1
furniture jewellery,2
furniture map,67
furniture painting,11
furniture photograph,151
furniture postcard,7
furniture sculpture,17
furniture tapestry,10
furniture textile,96
furniture toy,27
furniture woodwork,27
jewellery painting,4
jewellery postcard,6
jewellery textile,39
jewellery toy,2
map painting,1
map photograph,84
map postcard,13
map specimen,1
map textile,5
painting photograph,10
painting postcard,28
painting sculpture,31
painting tapestry,1
painting textile,312
photograph postcard,1012
photograph sculpture,353
photograph tapestry,9
photograph textile,22
photograph toy,2
photograph woodwork,43
postcard sculpture,16
postcard textile,2
sculpture textile,78
sculpture toy,175
tapestry textile,148
textile toy,287
textile woodwork,1
building map postcard,1
building painting tapestry,1
ceramics textile toy,2
drawing furniture painting,1
furniture painting sculpture,1
furniture photograph tapestry,3
map photograph postcard,3
