category,skos_concept,URI,ID,URL
building ceramics,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_102478,/91608/SMVK_VKM_objekt_102478,http://collections.smvk.se/carlotta-vkm/web/image/zoom/2391551/1928.19.0113.jpg
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_33_3A59,/2021012/app_si_A_I_33_3A59,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0051600&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A74,/2021012/app_si_A_I_470_3A74,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0091100&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A168,/2021012/app_si_A_I_470_3A168,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0005400&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_IV_3353,/2021012/app_si_A_IV_3353,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050124Np004&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/NOD_MIN__039473,/2022608/NOD_MIN__039473,http://mm.dimu.no/image/022wazLwUUd8?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_II_1254_3A42,/2021012/app_si_A_II_1254_3A42,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050203Np014&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_III_2688_3A13,/2021012/app_si_A_III_2688_3A13,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050301Np004&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_33_3A88,/2021012/app_si_A_I_33_3A88,http://kokoelmat.fng.fi/app?profile=europeana&iid=N9761100&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A79,/2021012/app_si_A_I_470_3A79,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0066100&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_II_1254_3A54,/2021012/app_si_A_II_1254_3A54,http://kokoelmat.fng.fi/app?profile=europeana&iid=X0042400&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_III_2688_3A5,/2021012/app_si_A_III_2688_3A5,http://kokoelmat.fng.fi/app?profile=europeana&iid=A0468800&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_33_3A40,/2021012/app_si_A_I_33_3A40,http://kokoelmat.fng.fi/app?profile=europeana&iid=N9751700&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A168,/2021012/app_si_A_I_470_3A168,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0005400&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/NOD_MIN__039473,/2022608/NOD_MIN__039473,http://mm.dimu.no/image/022wazLwUUd8?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A96,/2021012/app_si_A_I_470_3A96,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0088400&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A79,/2021012/app_si_A_I_470_3A79,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0066100&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A6,/2021012/app_si_A_I_470_3A6,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0071000&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_33_3A40,/2021012/app_si_A_I_33_3A40,http://kokoelmat.fng.fi/app?profile=europeana&iid=N9751700&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_472_3A37,/2021012/app_si_A_I_472_3A37,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0014500&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_III_2688_3A5,/2021012/app_si_A_III_2688_3A5,http://kokoelmat.fng.fi/app?profile=europeana&iid=A0468800&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A74,/2021012/app_si_A_I_470_3A74,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0091100&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_IV_3376_3A13,/2021012/app_si_A_IV_3376_3A13,http://kokoelmat.fng.fi/app?profile=europeana&iid=Q0220800&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_II_1254_3A45,/2021012/app_si_A_II_1254_3A45,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050203Np013&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_II_1254_3A47,/2021012/app_si_A_II_1254_3A47,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050203Np012&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_III_2688_3A5,/2021012/app_si_A_III_2688_3A5,http://kokoelmat.fng.fi/app?profile=europeana&iid=A0468800&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_472_3A24,/2021012/app_si_A_I_472_3A24,http://kokoelmat.fng.fi/app?profile=europeana&iid=K0247900&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_IV_3376_3A13,/2021012/app_si_A_IV_3376_3A13,http://kokoelmat.fng.fi/app?profile=europeana&iid=Q0220800&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_IV_3328,/2021012/app_si_A_IV_3328,http://kokoelmat.fng.fi/app?profile=europeana&iid=F5004801&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_470_3A68,/2021012/app_si_A_I_470_3A68,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn051005Np002&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_IV_3354,/2021012/app_si_A_IV_3354,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050124Np016&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_636_3A1,/2021012/app_si_A_I_636_3A1,http://kokoelmat.fng.fi/app?profile=europeana&iid=tunn050308Np014&action=image
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021012/app_si_A_I_33_3A59,/2021012/app_si_A_I_33_3A59,http://kokoelmat.fng.fi/app?profile=europeana&iid=O0051600&action=image
