category,skos_concept,URI,ID,URL
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/NIA_NIA_HIP_010_041,/2022608/NIA_NIA_HIP_010_041,http://mm.dimu.no/image/032wZzohtpct?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/NIA_NIA_HIP_004_583,/2022608/NIA_NIA_HIP_004_583,http://mm.dimu.no/image/022wXWcyWJp2?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_R_Fot_43321,/2022608/ROM_R_Fot_43321,http://mm.dimu.no/image/04S1EUsvGz?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/TFM_SVB_FTT_TSM_0233,/2022608/TFM_SVB_FTT_TSM_0233,http://mm.dimu.no/image/01Szf6ZVBn?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_R_Fot_43324,/2022608/ROM_R_Fot_43324,http://mm.dimu.no/image/03S1EUsvH3?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_R_Fot_38997,/2022608/ROM_R_Fot_38997,http://mm.dimu.no/image/02S1EMWfLb?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_R_Fot_18016,/2022608/ROM_R_Fot_18016,http://mm.dimu.no/image/01S11GTLqn?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_NE_0210_0001,/2022608/ROM_NE_0210_0001,http://mm.dimu.no/image/04Rzn8QMXr?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_R_Fot_18021,/2022608/ROM_R_Fot_18021,http://mm.dimu.no/image/01S11GTLv7?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/TFM_SVB_FTT_TSM_0582,/2022608/TFM_SVB_FTT_TSM_0582,http://mm.dimu.no/image/03Szf828KC?dimension=800x800
building drawing,http://data.europeana.eu/concept/base/29 http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2022608/ROM_R_Fot_40431,/2022608/ROM_R_Fot_40431,http://mm.dimu.no/image/03S1EQSd1m?dimension=800x800
